ORIG_ID	SENTENCE
751	Essǝ hanno dimostrato come sia possibile lavorare alle questioni europee in un modo inedito ed esemplare, un modo superiore al metodo della Conferenza intergovernativa grazie al suo funzionamento democratico e aperto, all'insegna della trasparenza e della partecipazione deǝ cittadinǝ.
752	Man mano che le Istituzioni europee ottengono sempre più potere suǝ cittadinǝ, diviene importante porre dei limiti a questa influenza.
753	Nella Carta che viene proposta ǝ cittadinǝ e i loro diritti sono posti al centro in modo unico.
754	La discriminazione fra europeǝ e residenti dei paesi terzi è sancita, così come la libertà di circolazione prevista nel Trattato di Amsterdam, o il diritto di vivere in famiglia seppure esso sia riconosciuto nel diritto internazionale.
755	Inoltre, la Carta presenta delle lacune politiche: non affronta, per esempio, il problema deǝ profugǝ politicǝ.
756	Pertanto mi rammarica vedere che ǝ Conservatorǝ britannicǝ si sono schieratǝ contro l'idea secondo cui le Istituzioni dell'Unione sono tenute a rispondere delle violazioni ai diritti deǝ cittadinǝ dell'Unione.
757	Non limitiamoci semplicemente ad approvare tali diritti, ma rendiamoli materia viva nei nostri cuori e nell'esperienza deǝ nostrǝ cittadinǝ: facciamo in modo che siano parte del nostro ordinamento giuridico.
758	Ə cittadinə europeə sono rimastə insufficientemente informatə e se, come avrebbe dovuto essere, fossero statə coinvoltə a contribuire all'elaborazione della Carta, il contenuto sarebbe stato certamente diverso.
759	Ancora un accenno allə signorə Presidente del Consiglio: in qualità di ex membro di una Corte costituzionale posso assicurare che il sovrapporsi delle competenze fra le varie corti costituzionali comporterà entro brevissimo tempo divergenze della giurisprudenza e che è lecito attendersi tali divergenze della giurisprudenza.
760	È vero, come ha detto qualche oratorə, che serve uno sforzo di informazione sulla Carta, il quale può iniziare in questo stesso Parlamento.
761	Credo che nessunə di noi vi veda interamente realizzate le sue aspirazioni, perché la Carta non può essere lo specchio di una parte ma dev'essere il comune punto di riferimento di tuttə coloro che si sentono cittadinə europeə, rispettosə delle differenze e della convivenza deə diversə.
762	A nostro avviso è un buon documento che per noi cristiano-democraticə rispecchia le nostre norme e i nostri valori.
763	Una terza osservazione che tengo a fare riguarda i diritti deə cittadinə dei paesi terzi.
764	La Carta contiene alcuni articoli che proteggono ə cittadinə dalla discriminazione, ad esempio sul mercato del lavoro.
765	È stato per me un grande onore poter lavorare con collegə del Parlamento europeo e dei parlamenti nazionali alla realizzazione della Carta.
766	Le Istituzioni che firmeranno la Carta non devono però lasciarne l'applicazione solo in mano aə giudiciə.
767	Le Istituzioni europee hanno potere e quindi dobbiamo circoscrivere tale potere al servizio deə cittadinə.
768	Ciò nonostante è più che mai urgente disporre di un testo costituzionale per l'Europa nel quale ə cittadinə possano trovare principi chiari e comprensibili sulla loro Europa, che stabilisca di quali diritti godono ə cittadinə stessə, in quali ambiti l'Unione ha assunto responsabilità, in quali ambiti le competenze continueranno a spettare anche in futuro agli Stati membri e in che modo l'Europa intende assolvere ai propri compiti con tutte le garanzie di tutela dei diritti umani dello Stato di diritto.
769	Per quanto attiene al ruolo deə cittadinə, che sarebbe stato insufficiente, ritengo tale critica parzialmente ingiusta.
770	Ə collegə che ho nominato precedentemente e altrə hanno fatto miracoli.
771	Mi sono astenutə nella votazione sulla risoluzione concernente la Carta dei diritti fondamentali dell'Unione europea perché, malgrado qualche progresso, la reputo ancora assai insoddisfacente.
772	Credo che la Turchia dovrebbe sancire un nuovo inizio incaricando, insieme all'Armenia, ə storicə di indagare su quanto è avvenuto per fare luce, chiarire e anche per poter prendere francamente posizione in merito e assumersi apertamente le proprie responsabilità.
773	Ə liberali europeə sono certamente prontə a svolgere il proprio ruolo per avvicinare la prospettiva di adesione della Turchia e per diffondere la prosperità, la stabilità e la sicurezza a tutti i popoli europei.
774	Il sostegno aə anzianə e aə pensionatə, da qualunque parte esso provenga, avrà sempre il mio plauso e la mia approvazione.
775	Infine, occorre munire ə cittadinə dei mezzi atti a proteggere da solə la loro vita privata lasciando libera ogni forma di codificazione dei dati nell'attività di trasmissione dei dati.
776	Ə deputatə europeə del KKE hanno votato contro un testo non soltanto inutile, ma anche pericoloso.
777	La Carta dei diritti fondamentali è un documento e una Carta comune a tuttə ə cittadinə europeə!
778	Ə cittadinə europeə non hanno alcun bisogno di una dichiarazione solenne sui diritti fondamentali che, peraltro, sono loro già riconosciuti da convenzioni internazionali e dagli ordinamenti giuridici nazionali.
779	Affinché ə cittadinə si sentano coinvoltə nell'Unione europea, nelle sue politiche e Istituzioni, è compito in particolare deə parlamentari di far conoscere maggiormente le scelte cruciali, le contraddizioni, le differenze d'interessi e di progetti che muovono gli attori economici e sociali sulla scena europea.
780	Tuttavia in tal modo non viene soddisfatta l'aspirazione dell'Unione europea di essere un'Unione dei popoli e deə relativə cittadinə.
781	Uno dopo l'altro, ə oratorə, con rare eccezioni, hanno parlato della necessità di un'Europa dotata di diritti costituzionali.
782	Inoltre, ə parlamentari europeə non solo non hanno avuto il diritto di presentare emendamenti al testo della Carta, ma è stata imposta loro la votazione in blocco della risoluzione stessa, in totale disprezzo delle regole democratiche più elementari.
783	Ə pensionatə sono favorevoli a un rafforzamento del diritto penale, non soltanto nazionale ma soprattutto europeo, perché purtroppo la delinquenza non è più solamente dei nostri Stati, ma anche di persone di altre nazionalità.
784	Ə pensionatə e ə anzianə sono coloro che, più di altrə, sono vittime degli atti della delinquenza: certo, non della grande delinquenza che porta al riciclaggio di denaro sporco, che noi combattiamo, ma di quei piccoli atti di criminalità che ne derivano e che rendono così difficile la vita di tutti, in particolare deə anzianə.
785	Le relazioni elaborate daə deputatə socialistə costituiscono un importante passo nella lotta contro la criminalità organizzata ne raccomando l'adozione all'Aula.
786	Lə ladrə era italianə, il caso doveva essere assegnato a unə poliziottə italianə.
787	Inoltre, in quanto deputatə elettə sia daə cittadinə bascə che catalanə, devo ricordare che si continua insistere sulla cooperazione fra Stati, senza tenere conto che nell'Unione europea operano altri corpi di polizia non di ambito statale.
788	In tal modo si alimenta un atteggiamento contrario che all'interno dell'Unione, vistə ə numerosə immigratə turcə che risiedono nei nostri paesi e innanzi all'aumento della xenofobia, non possiamo permetterci e non dobbiamo neppure tollerare.
789	Sono io stessə l'autorə di questa formulazione, con l'emendamento n. 72 adottato in commissione per gli affari esteri, i diritti umani, la sicurezza comune e la politica di difesa il 10 ottobre 2000.
790	Come tuttə sapete, il nostro gruppo politico era scettico sullo status di paese candidato della Turchia ma un dato positivo è che, ora che tale status è stato riconosciuto, la Turchia debba mettere in atto le riforme necessarie per soddisfare le richieste dell'Unione europea.
791	Variə oratorə hanno rimproverato alla Commissione di non aver affrontato determinati problemi.
792	Posso solo supporre che questə oratorə non abbiano letto la relazione, visto che tutti i problemi citati in questa sede e che la Commissione non avrebbe preso in considerazione, in realtà, sono stati trattati nella relazione.
793	Questo partenariato avrà un futuro soltanto se sarà incentrato su forme di cooperazione molto strette con ə rappresentanti deə cittadinə, le associazioni, le ONG, i sindacati e tutte le società civili interessate.
794	Ə dirigenti palestinesi chiedono esplicitamente che l'Unione europea si impegni senza remore per far tacere il fragore degli spari, incoraggiare il dialogo efficace e si adoperi attivamente per l'applicazione delle risoluzioni dell'ONU.
795	Siamo quindi persuasə che la politica mediterranea dell'Unione deve tener conto della sua culla mediterranea, e deve perciò far diventare il Mediterraneo un progetto, senza dimenticare che i diritti dei popoli vengono prima di quelli degli individui, se non altro perché i conflitti innescati tra le nazioni finiscono per pregiudicare la possibilità di vita e di sviluppo deə singolə cittadinə.
796	Lə Commissariə Patten dice che non bisogna essere prigionierə della situazione tra Palestina e Israele.
797	Di conseguenza non si può parlare soltanto di prodotti e di organizzazione dei mercati, senza pensare a questə cittadinə.
